id,名称,地址,电话,经度,纬度,类型代码,类型名称,省份,城市,区域,营业时间,评分
B00178TWN0,广厦城巢上二期,广厦城6号,[],106.530344,29.490540,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017875C0,广厦城巢上,广厦城6号巢上,[],106.530604,29.490837,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0MG1AS04O,重庆电力高等专科学校电力四村,复线隧道东北侧,[],106.534075,29.486025,120302|120303,商务住宅;住宅区;住宅小区|商务住宅;住宅区;宿舍,重庆市,重庆市,九龙坡区,,[]
B0KR7XJHPY,电校住宅,龙广路重庆电力高等专科学校,[],106.534951,29.486325,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0IAZST6DB,广厦城一期6号院,龙广路与邮电路交叉口北100米,[],106.531449,29.491794,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0I3XS6XOE,广厦城一期6号院西区,龙广路与邮电路交叉口西北100米,[],106.530991,29.491600,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0I3XS90P0,广厦城一期6号院东区,邮电路与龙广路交叉口东北120米,[],106.532511,29.491725,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178VNDN,金源利·青国青城,锦龙路289号,[],106.526077,29.489929,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001793275,如意物业B区,北桥头立交与红光大道交叉口东北420米,[],106.536132,29.485956,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TWN1,广厦城一期,黄桷坪街道广厦城4号,[],106.532239,29.492957,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0IAZSSL5B,广厦城一期2号院,龙江路与余堡路交叉口东北240米,[],106.531484,29.493135,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TXYG,九龙花园,九龙村26号,[],106.526522,29.491612,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0IAZSRD6S,广厦城一期3号院,邮电路与龙广路交叉口东北280米,[],106.533603,29.492869,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFHD3DZC,观江美郡,高进路与余堡路交叉口东北80米,[],106.528443,29.492722,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFGNPFY7,九龙花园二小区,九龙村26号,[],106.526450,29.491544,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFH2A1UP,九龙坡区黄桷坪街道唐家湾社区,惠广路与新建路交叉口西340米,[],106.535993,29.491869,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,4.4
B00178TWN2,如意物业A区,龙广路与黄桷坪正街交叉口西北340米,[],106.537501,29.485384,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786TIS,曦圆·云岭,铁路新村50号(铁路医院对面前行300米),[],106.536384,29.492479,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFHCA298,广厦城,龙江路九龙小学东,[],106.532263,29.494423,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TWN4,九龙花园一小区,九龙花园,[],106.526735,29.492913,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0JAGUGR8A,广厦城一期4号院,邮电路与龙广路交叉口北380米,[],106.532790,29.494178,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786L50,保利心语花园,龙江路8号,[],106.528168,29.494487,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFF7XSXZ,电力三村,黄桷坪电力家属区,[],106.538260,29.484484,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017875LU,广厦城洛卡庄园,广厦城7号,[],106.532445,29.495316,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFHRCZZI,蟠龙·龙蟠凤逸,九龙镇龙江支路66号,[],106.525285,29.493315,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFG15M6R,广厦城蜜宫,杨家坪滩子口广厦城8号,[],106.535763,29.494515,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0H0VC3GN4,龙湖美林美院,黄桷坪街道黄桷坪正街重庆铁路小学斜对面,15730789107,106.539470,29.491322,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0H6PSOP1L,玖悦兰庭,杨九路(黄桷坪地铁站4号口步行310米),[],106.537758,29.493328,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0KU4UTCMJ,铁路新村,惠广路与新建路交叉口西100米,[],106.538471,29.492446,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0G26ZLNOZ,俊东花园,惠广路与新建路交叉口西60米,[],106.538813,29.492234,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0HDT7KKG3,华润·半山悦景,龙江路与龙江支路交叉路口东南侧,[],106.525857,29.495568,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0JKGZ2NFM,华润·半山悦景(南区),九凤支路与龙江支路交叉口南200米,[],106.525251,29.495093,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786TIP,禾风雅筑,新市场官家林199号,[],106.538298,29.494204,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0LD1K8WM0,保利韬园,龙江路与龙江支路交叉口东南380米,[],106.528869,29.495886,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017822ZY,黄桷花园,黄桷坪街道黄桷坪正街搬运西村3号,[],106.541217,29.491009,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0JKGZ318H,华润·半山悦景(北区),龙江支路与九凤支路交叉口东180米,[],106.526697,29.496363,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFFWC97R,官家林,杨九路与新建路交叉口西北380米,[],106.536369,29.496208,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786WAZ,广厦城江畔语林,广厦城5号,[],106.529953,29.497276,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFGG6I14,铁路二村,龙吟支路与新建路交叉口东100米,[],106.539950,29.493640,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786TZM,港韵新苑,滩子口77-78号,[],106.524584,29.495772,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001702900,星河名居,滩子口97号(滩子口地铁站2A口步行420米),[],106.527736,29.497189,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786U8F,渝铁·九龙苑,铁路二村,[],106.540222,29.494020,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFG7OVMP,广厦城森林峰,九龙镇滩子口,[],106.532154,29.497682,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFG6SWH5,志龙·观江岭,官家林11号,[],106.534871,29.497505,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0HDUHJJ18,海纳九龙,龙江支路51号,[],106.523511,29.495396,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786U8A,茗都华苑,滩子口55号,[],106.528240,29.497372,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017933BA,天祥苑,滩子口龙江支路,023-68506174,106.526242,29.497707,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00179264H,双铁金大楼,新市场叉路口14号,[],106.541716,29.493288,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017946NW,黄正街社区,黄桷坪正街230附2号附近,[],106.543806,29.488414,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786TIX,龙隐花苑,铁路四村12号,[],106.543658,29.490690,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178VN46,黄桷印象,黄桷枰正街232号,[],106.543994,29.487722,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0G0P9IVAU,小美院(四川美术学院家属区),黄椎坪街道黄桶坪正街185号附近,[],106.543808,29.486954,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178X6D0,庆翔·正雅阁,滩子口龙江支路42号,[],106.521890,29.495638,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TWYE,万顺楼,滩子口71号,[],106.526690,29.498511,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0KR67Z6C2,铁路六村,龙吟路东50米(四川美术学院地铁站4号口步行410米),[],106.543844,29.486081,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0L3HLC2EU,铁路一村,直港大道与龙吟路交叉口东南340米,[],106.533866,29.498845,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFGKBH7B,广厦城江界,九龙大道1号(滩子口地铁站4号口步行230米),[],106.531365,29.499646,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001785J7W,天河名港,滩子口49-70号,[],106.526560,29.499087,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TY9L,田野小区,滩子口101号,[],106.524887,29.498539,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFH2LK4D,龙江支路小区,龙江支路与高进路辅路交叉口西北160米,[],106.521813,29.495965,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0I30SK9A0,三角道社区,铁路五村19号,[],106.545670,29.487448,130106|120302,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFFEBHPX,新市场社区,黄桷坪铁路三村(四川美术学院地铁站4号口步行470米),[],106.545207,29.491636,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFGYQ8BT,和信公寓,杨家坪正街与龙江路交叉口西120米,[],106.524041,29.498861,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786WK0,晋愉·九龙湾,铁路一村28号1,[],106.529585,29.501358,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0JKB7NVZ8,金辉云缦长滩,九凤大道与天兴路交叉口东南140米,[],106.524127,29.500019,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFGG6MP6,新华春天,西子路202号,[],106.519851,29.498256,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFHH5IG2,太极集团滩子口家属楼,龙吟路晋愉九龙湾西侧,[],106.528411,29.501395,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0L1MKFVQ9,新华春天B区,九凤大道与九凤支路交叉口西北120米,[],106.521213,29.498917,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786L6L,福星·颐美华庭,天兴路49号(滩子口地铁站2A口步行420米),[],106.523639,29.501293,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0LDH5LOHD,新华春天-东区,九凤大道与九凤支路交叉口西北140米,[],106.520614,29.498600,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFF39F3Z,天宝新苑,杨家坪天兴路41号,[],106.525464,29.502047,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0LDU6ACKO,新华春天-西区,西子路与高进路交叉口西北160米,[],106.518623,29.497881,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178XDNT,新华苑B区,直港大道天兴路39号,[],106.524982,29.502313,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0L69SN60M,新华苑,九凤大道与天兴路交叉口东北260米,[],106.524986,29.502306,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178XE7G,和坤和家园,天兴路51号,[],106.523486,29.502543,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFH5QZQJ,融汇江山E区,融汇五园海支路,[],106.518776,29.475332,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B00178XA3G,融汇江山,巴滨路融汇半岛段,[],106.519933,29.474447,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFGG557C,融汇江山D区,[],[],106.520873,29.473616,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B00170AFBV,铁马公寓,西子路51号,[],106.517996,29.499937,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00170I3JP,上江城,天兴路2号,[],106.529096,29.504753,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00170A3UR,佳锦园,天兴路6号,[],106.527186,29.504636,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017822XE,皓林新华苑,新华六村33幢,[],106.519422,29.502015,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFKBCHJJ,融汇半岛天澜,融汇大道与汇滨一路交叉口北300米,[],106.514626,29.476729,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0K6XH08LS,D10·天际玲珑台,杨家坪正街51号,[],106.518429,29.501748,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFG0ICLT,融汇半岛五园湾A区,融汇大道5号,[],106.517552,29.473925,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFK4J7VL,融汇半岛C公馆,巴滨路融汇半岛段(融汇半岛旁),[],106.520964,29.471797,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B00178VPRC,金江明珠,直港大道48号,[],106.529837,29.505954,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786TWV,融汇半岛五园湾,李家沱融汇大道5号(长江大桥南桥头),023-62595598,106.518445,29.473140,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0017875AK,锦绣江南,工矿路28号,[],106.534173,29.469246,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFJO63VD,融汇半岛五园湾B区,融汇大道5号,[],106.519185,29.472430,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFJ1F5O8,融汇半岛水晶公馆,融汇大道492-494正北方向170米,[],106.515898,29.474817,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B00178VSRD,江趣阁,天兴路1号上江城,[],106.529328,29.505904,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00170AEUU,天合家园,天宝路126-130号,[],106.526601,29.505817,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00170A3W9,佳庆园,天宝路132-138号,[],106.525504,29.505682,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0H1PHQACD,新希望·D10天际,杨家坪正街,[],106.517294,29.502353,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,4.7
B0FFGKB5KF,桥南村,马王坪正街与红光大道交叉口东200米,[],106.529913,29.468293,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0KKOSZPAR,新希望D10天际星湖岛,杨家坪正街51号,[],106.516354,29.502241,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0IUCUZOJ1,新天泽·江上云境(建设中),杨九路,[],106.533191,29.497991,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001702AD3,佳宝园,天宝路127号,[],106.525619,29.506475,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017933QJ,天宝路小区,天宝路96号,[],106.523641,29.505913,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0G1TSVQ2Q,一曲晴江,巴滨路,[],106.531870,29.467745,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0017822XD,重啤花园,西郊三村5号,[],106.513946,29.500784,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178230Q,映江花园,李家沱马王坪正街,023-62868103,106.536874,29.468220,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B00178TTX3,星河世家,直港大道28号,[],106.526608,29.507307,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFF2SB7R,斌鑫·新华苑2期,天宝路12号,[],106.521934,29.506151,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0LKRC65S4,富怡阁,天长路与直港大道交叉口西120米,[],106.529000,29.507000,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0L39ZSBE2,马王坪正街二社区,工矿路与工裕路交叉口东北80米,[],106.535098,29.468527,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0HUJAZJLV,江湾印月,工矿路19号,[],106.534805,29.467463,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B00179AXF4,晨曦花园,马王坪正街与红光大道交叉口东200米,[],106.529617,29.467512,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B00178232M,晨曦花园西区,桥南村11幢附11号楼李家沱马王坪正街,[],106.529224,29.467701,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0LKRN5N2U,富盛阁,天长路与天宝路交叉口东北20米,[],106.527475,29.506925,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFG0BHQH,珠江花园南区,杨家坪直港大道,[],106.528026,29.507610,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178758E,天鹅堡,杨家坪直港大道中段26号,[],106.525144,29.507414,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00170A0NU,广厦经典,西郊路28号(动物园地铁站2号口步行300米),[],106.511122,29.499016,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00170316A,西郊三村杨渡小区,杨渡支路与西郊路交叉口东南280米,[],106.510493,29.497569,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TWOI,晨曦花园东区,桥南村(李家沱大桥地铁站出入口步行410米),[],106.530053,29.467310,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B00178VPD2,融汇半岛爱窝,融汇大道26号,[],106.514691,29.472440,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFJGNA2Z,珠江花园,直港大道199号,[],106.528221,29.508648,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017822XF,斌鑫·新华苑,天宝路12号,[],106.521311,29.506774,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0JBY5Q30D,融汇半岛江上公馆B区,融汇大道与汇滨一路交叉口西140米,[],106.512182,29.474719,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFHKES3E,天鹅花园,直港大道22号,[],106.524102,29.507651,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0H2N5FS7C,江湾印月·熙月,李家沱街道工矿路19号,[],106.534495,29.466982,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFH2WXTH,公安大楼,天宝路88号,[],106.522652,29.506624,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001786THS,东方雅园,[],[],106.528144,29.466979,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0KG9U4RLI,卓越龙珠居,九龙街道上游四社,[],106.508326,29.491909,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFHJCV1U,珠江花园北区,直港大道199号,[],106.527623,29.508377,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TWYB,西城镜园,杨家坪西郊三村1号8幢(动物园地铁站1号口步行440米),[],106.512945,29.502166,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,4.2
B00178TWMZ,庆丰花园,李家沱马王坪正街22号,18696507715,106.536431,29.466846,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B00178752K,祥和·如意居,杨渡村138(动物园地铁站2号口步行480米),[],106.508866,29.496689,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017822XH,金都香榭,直港大道18号,[],106.522563,29.507941,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0L2PXSID6,珠江花园2期,直港大道与天长路交叉口东南60米,[],106.527175,29.507975,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFGKB54H,渝沙村,马王坪正街与红光大道交叉口东南100米,[],106.528657,29.467089,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFH5QZQT,斌鑫·新华苑1期,天宝路10号,[],106.520828,29.507212,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0L1CR6AXN,映江花园B区,工矿路与马王坪正街交叉口北100米,[],106.536070,29.467310,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFGAZL7Z,融汇半岛江上公馆,汇滨二路与融汇大道交叉口,[],106.511253,29.474220,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,3.5
B0FFGG6MP4,西郊三村,杨渡支路与西郊路交叉口南220米,[],106.509705,29.498055,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
